text,label
Leave approval request submitted by Michael Smith.,HR
Employee training feedback form for Workplace Safety.,HR
Employee onboarding form for Alice Brown regarding position Consultant.,HR
"Performance review report for Priya Sharma, evaluated by HR team.",HR
Recruitment policy update effective from 22/4/2022.,HR
Leave approval request submitted by Michael Smith.,HR
Employee training feedback form for Leadership.,HR
"Performance review report for Alice Brown, evaluated by HR team.",HR
Employee training feedback form for Cybersecurity.,HR
Employee training feedback form for Leadership.,HR
"Performance review report for Raj Patel, evaluated by HR team.",HR
Leave approval request submitted by Priya Sharma.,HR
Recruitment policy update effective from 17/1/2022.,HR
Employee training feedback form for Workplace Safety.,HR
"Performance review report for Sara Lee, evaluated by HR team.",HR
Employee onboarding form for Sara Lee regarding position Manager.,HR
Recruitment policy update effective from 6/10/2023.,HR
Recruitment policy update effective from 26/5/2025.,HR
Employee training feedback form for Cybersecurity.,HR
Recruitment policy update effective from 13/9/2025.,HR
Recruitment policy update effective from 16/7/2025.,HR
"Performance review report for Priya Sharma, evaluated by HR team.",HR
"Performance review report for Sara Lee, evaluated by HR team.",HR
Recruitment policy update effective from 10/6/2024.,HR
Employee training feedback form for Cybersecurity.,HR
Leave approval request submitted by John Doe.,HR
Leave approval request submitted by John Doe.,HR
Employee onboarding form for Sara Lee regarding position Manager.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Recruitment policy update effective from 22/6/2022.,HR
Employee onboarding form for Sara Lee regarding position Manager.,HR
"Performance review report for Alice Brown, evaluated by HR team.",HR
Employee onboarding form for Priya Sharma regarding position Executive.,HR
Employee onboarding form for Michael Smith regarding position Developer.,HR
"Performance review report for Raj Patel, evaluated by HR team.",HR
"Performance review report for Michael Smith, evaluated by HR team.",HR
Recruitment policy update effective from 3/4/2021.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
"Performance review report for Priya Sharma, evaluated by HR team.",HR
Recruitment policy update effective from 18/11/2025.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Leave approval request submitted by Priya Sharma.,HR
Recruitment policy update effective from 14/4/2025.,HR
Employee training feedback form for Communication Skills.,HR
Employee training feedback form for Cybersecurity.,HR
Leave approval request submitted by Raj Patel.,HR
"Performance review report for Sara Lee, evaluated by HR team.",HR
Leave approval request submitted by Raj Patel.,HR
Recruitment policy update effective from 21/3/2021.,HR
Employee training feedback form for Leadership.,HR
Employee training feedback form for Leadership.,HR
Employee onboarding form for Sara Lee regarding position Executive.,HR
Employee training feedback form for Cybersecurity.,HR
Employee onboarding form for Sara Lee regarding position Executive.,HR
Leave approval request submitted by Alice Brown.,HR
Recruitment policy update effective from 10/8/2025.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Leave approval request submitted by Priya Sharma.,HR
"Performance review report for Sara Lee, evaluated by HR team.",HR
Employee training feedback form for Workplace Safety.,HR
Employee training feedback form for Cybersecurity.,HR
Recruitment policy update effective from 6/4/2021.,HR
Leave approval request submitted by Alice Brown.,HR
Recruitment policy update effective from 13/9/2025.,HR
Employee onboarding form for John Doe regarding position Analyst.,HR
Employee onboarding form for Alice Brown regarding position Executive.,HR
"Performance review report for Raj Patel, evaluated by HR team.",HR
Leave approval request submitted by Sara Lee.,HR
Leave approval request submitted by Raj Patel.,HR
Recruitment policy update effective from 22/8/2021.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Employee onboarding form for Raj Patel regarding position Executive.,HR
Leave approval request submitted by Sara Lee.,HR
Employee training feedback form for Communication Skills.,HR
"Performance review report for Michael Smith, evaluated by HR team.",HR
Employee onboarding form for Priya Sharma regarding position Analyst.,HR
Employee onboarding form for Raj Patel regarding position Executive.,HR
Employee onboarding form for John Doe regarding position Analyst.,HR
Employee training feedback form for Cybersecurity.,HR
Leave approval request submitted by John Doe.,HR
"Performance review report for Sara Lee, evaluated by HR team.",HR
Leave approval request submitted by Sara Lee.,HR
Recruitment policy update effective from 26/8/2023.,HR
Employee onboarding form for Raj Patel regarding position Executive.,HR
Employee training feedback form for Cybersecurity.,HR
Employee onboarding form for Priya Sharma regarding position Manager.,HR
"Performance review report for Raj Patel, evaluated by HR team.",HR
Employee onboarding form for Raj Patel regarding position Manager.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Employee training feedback form for Workplace Safety.,HR
Recruitment policy update effective from 2/9/2023.,HR
Employee onboarding form for Priya Sharma regarding position Analyst.,HR
"Performance review report for Priya Sharma, evaluated by HR team.",HR
Recruitment policy update effective from 11/8/2023.,HR
Employee training feedback form for Communication Skills.,HR
Employee training feedback form for Workplace Safety.,HR
"Performance review report for Michael Smith, evaluated by HR team.",HR
Leave approval request submitted by Sara Lee.,HR
Leave approval request submitted by Alice Brown.,HR
Leave approval request submitted by Sara Lee.,HR
Employee onboarding form for John Doe regarding position Analyst.,HR
Employee training feedback form for Leadership.,HR
Leave approval request submitted by John Doe.,HR
Recruitment policy update effective from 4/3/2024.,HR
Recruitment policy update effective from 6/10/2024.,HR
"Performance review report for John Doe, evaluated by HR team.",HR
Leave approval request submitted by Sara Lee.,HR
Recruitment policy update effective from 28/1/2024.,HR
